	PR1
PrEC_1	23.52446175
PrEC_2	23.35365105
PrEC_3	23.57338524
PrEC_4	24.79600143
PrEC_5	25.33698463
PrEC_6	25.83987808
PrEC_7	26.09719276
PrEC_8	26.44171333
PrEC_9	26.19921494
PrEC_10	27.98763275
PrEC_11	27.94234657
PrEC_12	27.97372627
PrEC_13	29.8439846
PrEC_14	29.6352005
PrEC_15	29.96700287
PrEC_16	33.14736176
PrEC_17	33.39616394
PrEC_18	32.95711136
PrEC_19	31.16382408
PrEC_20	31.1620121
PrEC_21	30.92301559
