Sample	UBI	PR1
EC1	23.07023811	22.591856
EC2	22.19865608	22.6007576
EC3	22.95306778	22.5597496
EC4	20.48423958	22.48402405
EC5	20.36265755	22.37752342
EC6	20.71790504	22.30394745
EC7	20.86704254	27.22129631
EC8	20.84501839	27.09511185
EC9	20.78915787	27.00481033
EC10	21.66582298	26.1376915
EC11	21.44647217	25.9521122
EC12	21.46538925	26.22034836
