Sample	UBI	PR10	Genotype
EC37	22.84366989	22.61275673	Barke
EC38	22.37127304	22.32411766	Barke
EC39	22.55500221	22.33660889	Barke
EC40	19.71068001	19.82951736	SL17
EC41	20.19765282	19.71686745	SL17
EC42	20.45241356	20.36338806	SL17
EC43	20.83298874	21.65637398	SL52
EC44	20.89910126	21.61756325	SL52
EC45	20.71051788	21.91991043	SL52
EC46	20.94946671	21.74065018	GP
EC47	21.33750916	22.18028259	GP
EC48	21.70372391	22.05286598	GP
